Year,Film,Studio,Category,Won,Concordance
2017,Captain Underpants: The First Epic Movie,DreamWorks Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2017,Cars 3,Pixar Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2017,Despicable Me 3,Illumination Entertainment,Best Animated Feature,FALSE,Animated Feature-Length Film
2017,Dear Basketball,Glen Keane Productions,Best Animated Short Subject,TRUE,Animated Short Film
2017,Hedgehog's Home,National Film Board of Canada,Best Animated Short Subject,FALSE,Animated Short Film
2017,Negative Space,"IKKI Films, Manuel Cam Studio",Best Animated Short Subject,FALSE,Animated Short Film
2017,Scavengers,"Titmouse, Inc., Adult Swim",Best Animated Short Subject,FALSE,Animated Short Film
2017,Son of Jaguar,Google Spotlight Stories,Best Animated Short Subject,FALSE,Animated Short Film
2016,Zootopia,Walt Disney Animation Studios,Best Animated Feature,TRUE,Animated Feature-Length Film
2016,Finding Dory,Pixar Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2016,Kubo and the Two Strings,Laika,Best Animated Feature,FALSE,Animated Feature-Length Film
2016,Kung Fu Panda 3,DreamWorks Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2016,Moana,Walt Disney Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2016,Piper,Pixar Animation Studios,Best Animated Short Subject,TRUE,Animated Short Film
2016,Blind Vaysha,National Film Board of Canada,Best Animated Short Subject,FALSE,Animated Short Film
2016,Deer Flower,Studio ZAZAC,Best Animated Short Subject,FALSE,Animated Short Film
2016,Path Title Sequence,Acme Filmworks,Best Animated Short Subject,FALSE,Animated Short Film
2016,Pearl,"Google Spotlight Stories,Evil Eye Pictures",Best Animated Short Subject,FALSE,Animated Short Film
2015,Inside Out,Pixar Animation Studios,Best Animated Feature,TRUE,Animated Feature-Length Film
2015,Anomalisa,Paramount Pictures,Best Animated Feature,FALSE,Animated Feature-Length Film
2015,The Good Dinosaur,Pixar Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2015,The Peanuts Movie,"20th Century Fox Animation, Blue Sky Studios",Best Animated Feature,FALSE,Animated Feature-Length Film
2015,Shaun the Sheep Movie,Aardman Animations,Best Animated Feature,FALSE,Animated Feature-Length Film
2015,World of Tomorrow,Don Hertzfeldt,Best Animated Short Subject,TRUE,Animated Short Film
2015,Carface,National Film Board of Canada,Best Animated Short Subject,FALSE,Animated Short Film
2015,DISSONANCE,frameboX,Best Animated Short Subject,FALSE,Animated Short Film
2015,If I Was God...,National Film Board of Canada,Best Animated Short Subject,FALSE,Animated Short Film
2015,On Ice,Google/Evil Eye Pictures,Best Animated Short Subject,FALSE,Animated Short Film
2015,Sanjay's Super Team,Pixar Animation Studios,Best Animated Short Subject,FALSE,Animated Short Film
2014,How to Train Your Dragon 2,DreamWorks Animation Studios SKG,Best Animated Feature,TRUE,Animated Feature-Length Film
2014,The Tale of the Princess Kaguya,"Studio Ghibli, GKIDS",Best Animated Feature,FALSE,Animated Feature-Length Film
2014,Big Hero 6,Walt Disney Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2014,The Book of Life,"20th Century Fox, Reel FX Animation Studios",Best Animated Feature,FALSE,Animated Feature-Length Film
2014,The Boxtrolls,"Laika, Focus Features",Best Animated Feature,FALSE,Animated Feature-Length Film
2014,Cheatin',Plymptoons Studio,Best Animated Feature,FALSE,Animated Feature-Length Film
2014,The Lego Movie,"Warner Bros. Pictures, Warner Animation Group",Best Animated Feature,FALSE,Animated Feature-Length Film
2014,Song of the Sea,"Cartoon Saloon, GKIDS",Best Animated Feature,FALSE,Animated Feature-Length Film
2014,Feast,Walt Disney Animation Studios,Best Animated Short Subject,TRUE,Animated Short Film
2014,Coda,And Maps And Plans Ltd.,Best Animated Short Subject,FALSE,Animated Short Film
2014,Duet,"Glen Keane Productions, Google ATAP",Best Animated Short Subject,FALSE,Animated Short Film
2014,"The Simpsons – ""Michal Socha Couch Gag”","Gracie Films, 20th Century Fox Television",Best Animated Short Subject,FALSE,Animated Short Film
2014,Me and My Moulton,"Mikrofilm AS, National Film Board of Canada",Best Animated Short Subject,FALSE,Animated Short Film
2014,Silent,Moonbot Studios,Best Animated Short Subject,FALSE,Animated Short Film
2014,The Dam Keeper,Tonko House LLC,Best Animated Short Subject,FALSE,Animated Short Film
2014,The Raven,Moonbot Studios,Best Animated Short Subject,FALSE,Animated Short Film
2013,Frozen,Walt Disney Animation Studios,Best Animated Feature,TRUE,Animated Feature-Length Film
2013,The Croods,DreamWorks Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2013,Despicable Me 2,Illumination Entertainment,Best Animated Feature,FALSE,Animated Feature-Length Film
2013,Ernest & Celestine,Les Armateurs,Best Animated Feature,FALSE,Animated Feature-Length Film
2013,A Letter to Momo,Production I.G,Best Animated Feature,FALSE,Animated Feature-Length Film
2013,Monsters University,Pixar Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2013,The Wind Rises,"Studio Ghibli, Touchstone Pictures",Best Animated Feature,FALSE,Animated Feature-Length Film
2013,Get a Horse!,Walt Disney Animation Studios,Best Animated Short Subject,TRUE,Animated Short Film
2013,"Despicable Me 2 – ""Puppy""",Illumination Entertainment,Best Animated Short Subject,FALSE,Animated Short Film
2013,Gloria Victoria,National Film Board of Canada,Best Animated Short Subject,FALSE,Animated Short Film
2013,My Mom is an Airplane,Acme Filmworks,Best Animated Short Subject,FALSE,Animated Short Film
2013,The Numberlys,Moonbot Studios,Best Animated Short Subject,FALSE,Animated Short Film
2012,Wreck-It Ralph,Walt Disney Animation Studios,Best Animated Feature,TRUE,Animated Feature-Length Film
2012,Brave,Pixar Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2012,Frankenweenie,The Walt Disney Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2012,Hotel Transylvania,Sony Pictures Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2012,ParaNorman,"Laika, Focus Features",Best Animated Feature,FALSE,Animated Feature-Length Film
2012,The Pirates! Band of Misfits,"Aardman Animations, Sony Pictures Animation",Best Animated Feature,FALSE,Animated Feature-Length Film
2012,The Rabbi's Cat,GKIDS,Best Animated Feature,FALSE,Animated Feature-Length Film
2012,Rise of the Guardians,DreamWorks Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2012,Paperman,Walt Disney Animation Studios,Best Animated Short Subject,TRUE,Animated Short Film
2012,Brad and Gary,Illumination Entertainment,Best Animated Short Subject,FALSE,Animated Short Film
2012,Bydlo,National Film Board of Canada,Best Animated Short Subject,FALSE,Animated Short Film
2012,Eyes on the Stars,StoryCorps,Best Animated Short Subject,FALSE,Animated Short Film
2012,Goodnight Mr. Foot,Sony Pictures Animation,Best Animated Short Subject,FALSE,Animated Short Film
2012,Kali the Little Vampire,National Film Board of Canada,Best Animated Short Subject,FALSE,Animated Short Film
2012,Maggie Simpson in The Longest Daycare,"Gracie Films, 20th Century Fox Television",Best Animated Short Subject,FALSE,Animated Short Film
2012,"The Simpsons – ""Bill Plympton Couch Gag""","Gracie Films, 20th Century Fox Television",Best Animated Short Subject,FALSE,Animated Short Film
2011,Rango,"Nickelodeon Movies, Paramount Pictures, Blind Wink, GK Films Production",Best Animated Feature,TRUE,Animated Feature-Length Film
2011,The Adventures of Tintin,"Amblin Entertainment, The Kennedy/Marshall Company, WingNut Films",Best Animated Feature,FALSE,Animated Feature-Length Film
2011,Arthur Christmas,"Aardman Animations, Sony Pictures Animation",Best Animated Feature,FALSE,Animated Feature-Length Film
2011,Cars 2,Pixar Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2011,A Cat in Paris,Folimage,Best Animated Feature,FALSE,Animated Feature-Length Film
2011,Chico & Rita,Chico & Rita Distribution Limited,Best Animated Feature,FALSE,Animated Feature-Length Film
2011,Kung Fu Panda 2,DreamWorks Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2011,Puss in Boots,DreamWorks Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2011,Rio,Blue Sky Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2011,Arrugas (Wrinkles),"Perro Verde Films, S.L.",Best Animated Feature,FALSE,Animated Feature-Length Film
2011,Adam and Dog,Minkyu Lee,Best Animated Short Subject,TRUE,Animated Short Film
2011,I Tawt I Taw A Puddy Tat,Warner Bros. Animation,Best Animated Short Subject,FALSE,Animated Short Film
2011,La Luna,Pixar Animation Studios,Best Animated Short Subject,FALSE,Animated Short Film
2011,(Notes on) Biology,Ornana Films,Best Animated Short Subject,FALSE,Animated Short Film
2011,Paths of Hate,Platige Image,Best Animated Short Subject,FALSE,Animated Short Film
2011,Sunday (Dimanche),National Film Board of Canada,Best Animated Short Subject,FALSE,Animated Short Film
2011,Wild Life,National Film Board of Canada,Best Animated Short Subject,FALSE,Animated Short Film
2011,The Ballad of Nessie,Walt Disney Animation Studios,Best Animated Short Subject,FALSE,Animated Short Film
2011,The Girl and the Fox,Base14,Best Animated Short Subject,FALSE,Animated Short Film
2010,How to Train Your Dragon,DreamWorks Animation,Best Animated Feature,TRUE,Animated Feature-Length Film
2010,Despicable Me,"Illumination Entertainment, Universal Pictures",Best Animated Feature,FALSE,Animated Feature-Length Film
2010,Toy Story 3,"Walt Disney Pictures, Pixar Animation Studios",Best Animated Feature,FALSE,Animated Feature-Length Film
2010,The Illusionist,Django Films,Best Animated Feature,FALSE,Animated Feature-Length Film
2010,Tangled,Walt Disney Pictures,Best Animated Feature,FALSE,Animated Feature-Length Film
2010,Day & Night,Pixar Animation Studios,Best Animated Short Subject,TRUE,Animated Short Film
2010,The Renter,Jason Carpenter,Best Animated Short Subject,FALSE,Animated Short Film
2010,The Cow Who Wanted to Be a Hamburger,Plymptoons Studio,Best Animated Short Subject,FALSE,Animated Short Film
2010,Enrique Wrecks the World,House of Chai,Best Animated Short Subject,FALSE,Animated Short Film
2010,Coyote Falls,Warner Bros. Animation,Best Animated Short Subject,FALSE,Animated Short Film
2009,Up,Pixar Animation Studios,Best Animated Feature,TRUE,Animated Feature-Length Film
2009,Cloudy with a Chance of Meatballs,Sony Pictures Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2009,Coraline,Laika,Best Animated Feature,FALSE,Animated Feature-Length Film
2009,Fantastic Mr. Fox,20th Century Fox,Best Animated Feature,FALSE,Animated Feature-Length Film
2009,The Princess and the Frog,Walt Disney Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2009,The Secret of Kells,Cartoon Saloon,Best Animated Feature,FALSE,Animated Feature-Length Film
2009,Robot Chicken: Star Wars Episode II,ShadowMachine,Best Animated Short Subject,TRUE,Animated Short Film
2009,Pups of Liberty,Picnic Pictures,Best Animated Short Subject,FALSE,Animated Short Film
2009,"Santa, the Fascist Years",Plymptoons,Best Animated Short Subject,FALSE,Animated Short Film
2009,"The Rooster, The Crocodile and The Night Sky",Barley Films,Best Animated Short Subject,FALSE,Animated Short Film
2009,The Story of Walls,Badmash Animation Studios,Best Animated Short Subject,FALSE,Animated Short Film
2008,Kung Fu Panda,DreamWorks Animation,Best Animated Feature,TRUE,Animated Feature-Length Film
2008,$9.99,"Sherman Pictures, Lama Films",Best Animated Feature,FALSE,Animated Feature-Length Film
2008,Bolt,Walt Disney Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2008,WALL-E,Pixar Animation Studios,Best Animated Feature,FALSE,Animated Feature-Length Film
2008,Waltz with Bashir,"Bridgit Folman, Les Films D'ici, Razor Films, Sony Pictures Classics",Best Animated Feature,FALSE,Animated Feature-Length Film
2008,A Matter of Loaf and Death,Aardman Animations,Best Animated Short Subject,TRUE,Animated Short Film
2008,Glago's Guest,Walt Disney Animation Studios,Best Animated Short Subject,FALSE,Animated Short Film
2008,Hot Dog,Bill Plympton Studios,Best Animated Short Subject,FALSE,Animated Short Film
2008,Presto,Pixar Animation Studios,Best Animated Short Subject,FALSE,Animated Short Film
2008,Cookie Blues,Luke Rosin (eLuko Productions),Best Animated Short Subject,FALSE,Animated Short Film
2007,Ratatouille,Pixar Animation Studios,Best Animated Feature,TRUE,Animated Feature-Length Film
2007,Bee Movie,DreamWorks Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2007,Persepolis,Sony Pictures Classics,Best Animated Feature,FALSE,Animated Feature-Length Film
2007,The Simpsons Movie,20th Century Fox Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2007,Surf's Up,Sony Pictures Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2007,Your Friend the Rat,Pixar Animation Studios,Best Animated Short Subject,TRUE,Animated Short Film
2007,"Shorty McShorts' Shorts (for ""Mascot Prep"")",Walt Disney Television Animation,Best Animated Short Subject,FALSE,Animated Short Film
2007,The Chestnut Tree,Picnic Pictures,Best Animated Short Subject,FALSE,Animated Short Film
2007,Everything Will Be OK,Don Hertzfeldt,Best Animated Short Subject,FALSE,Animated Short Film
2007,How to Hook Up Your Home Theater,Walt Disney Animation Studios,Best Animated Short Subject,FALSE,Animated Short Film
2006,Cars,Pixar Animation Studios,Best Animated Feature,TRUE,Animated Feature-Length Film
2006,Happy Feet,"Warner Bros. Pictures, Animal Logic, Kennedy Miller Mitchell, Village Roadshow Pictures",Best Animated Feature,FALSE,Animated Feature-Length Film
2006,Monster House,"Amblin Entertainment, Columbia Pictures, ImageMovers",Best Animated Feature,FALSE,Animated Feature-Length Film
2006,Over the Hedge,DreamWorks Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2006,Open Season,"Columbia Pictures, Sony Pictures Animation",Best Animated Feature,FALSE,Animated Feature-Length Film
2006,No Time for Nuts,Blue Sky Studios,Best Animated Short Subject,TRUE,Animated Short Film
2006,Adventure Time,Nickelodeon,Best Animated Short Subject,FALSE,Animated Short Film
2006,Don't Download This Song,Acme Filmworks,Best Animated Short Subject,FALSE,Animated Short Film
2006,Fumi and the Bad Luck Foot,Thunderbean Animation,Best Animated Short Subject,FALSE,Animated Short Film
2005,Wallace & Gromit: The Curse of the Were-Rabbit,"Aardman Animations, DreamWorks Animation",Best Animated Feature,TRUE,Animated Feature-Length Film
2005,Chicken Little,Walt Disney Feature Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2005,Corpse Bride,"Laika Entertainment Production, Warner Bros. Pictures",Best Animated Feature,FALSE,Animated Feature-Length Film
2005,Howl's Moving Castle,"Walt Disney Pictures, Studio Ghibli",Best Animated Feature,FALSE,Animated Feature-Length Film
2005,Madagascar,DreamWorks Animation,Best Animated Feature,FALSE,Animated Feature-Length Film
2005,The Fan and the Flower,"Atomic Television, Plymptoons Productions",Best Animated Short Subject,TRUE,Animated Short Film
2005,Life in Transition,Stretch Films,Best Animated Short Subject,FALSE,Animated Short Film
2005,Milch,Klasky Csupo,Best Animated Short Subject,FALSE,Animated Short Film
2005,The Moon and the Son: An Imagined Conversation,John Canemaker Productions,Best Animated Short Subject,FALSE,Animated Short Film
2005,Moongirl,Laika,Best Animated Short Subject,FALSE,Animated Short Film
2025,Elio,Pixar Animation Studios,Best Feature,FALSE,Animated Feature-Length Film
2025,KPop Demon Hunters,Sony Pictures Animation,Best Feature,FALSE,Animated Feature-Length Film
2025,KPop Demon Hunters,Netflix,Best Feature,FALSE,Animated Feature-Length Film
2025,Little Amélie or the Character of Rain,Maybe Movies,Best Feature,FALSE,Animated Feature-Length Film
2025,Little Amélie or the Character of Rain,Ikki Films,Best Feature,FALSE,Animated Feature-Length Film
2025,Little Amélie or the Character of Rain,GKIDS,Best Feature,FALSE,Animated Feature-Length Film
2025,The Bad Guys 2,DreamWorks Animation,Best Feature,FALSE,Animated Feature-Length Film
2025,Zootopia 2,Walt Disney Animation Studios,Best Feature,FALSE,Animated Feature-Length Film
2025,Cardboard,Locksmith Animation,Best Short Subject,FALSE,Animated Short Film
2025,Ovary-Acting,Klipp og Lim,Best Short Subject,FALSE,Animated Short Film
2025,Ovary-Acting,Jante Films,Best Short Subject,FALSE,Animated Short Film
2025,Ovary-Acting,Apparat Filmproduktion AB,Best Short Subject,FALSE,Animated Short Film
2025,Pillowzzz,Animoshe,Best Short Subject,FALSE,Animated Short Film
2025,Snow Bear,The Art of Aaron Blaise,Best Short Subject,FALSE,Animated Short Film
2025,The Girl Who Cried Pearls,National Film Board of Canada,Best Short Subject,FALSE,Animated Short Film
