Year,Category,Film,Scene,Nominee,Won,Concordance
2024,Outstanding Virtual Cinematography in a CG Project,Kingdom of the Planet of the Apes,Egg Climb,Samantha Erickstad,FALSE,
2024,Outstanding Virtual Cinematography in a CG Project,Kingdom of the Planet of the Apes,Egg Climb,Miae Kang,FALSE,
2024,Outstanding Visual Effects in a Photoreal Feature,Dune: Part Two,,Gerd Nefzer,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Kingdom of the Planet of the Apes,,Rodney Burke,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Better Man,,Luke Millar,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Better Man,,Andy Taylor,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Better Man,,David Clayton,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Better Man,,Keith Herft,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Better Man,,Peter Stubbs,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Dune: Part Two,,Paul Lambert,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Dune: Part Two,,Brice Parker,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Dune: Part Two,,Stephen James,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Dune: Part Two,,Rhys Salcombe,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Kingdom of the Planet of the Apes,,Erik Winquist,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Mufasa: The Lion King,,Adam Valdez,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Mufasa: The Lion King,,Barry St. John,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Mufasa: The Lion King,,Audrey Ferrara,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Mufasa: The Lion King,,Daniel Fotheringham,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Twisters,,Ben Snow,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Twisters,,Mark Soper,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Twisters,,Florian Witzel,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Twisters,,Susan Greenhow,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Twisters,,Scott Fisher,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Kingdom of the Planet of the Apes,,Julia Neighly,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Kingdom of the Planet of the Apes,,Paul Story,FALSE,Effects
2024,Outstanding Visual Effects in a Photoreal Feature,Kingdom of the Planet of the Apes,,Danielle Immerman,FALSE,Effects
2024,Outstanding Visual Effects in an Animated Feature,The Wild Robot,,Jeff Budsberg,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,The Wild Robot,,Chris Sanders,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,The Wild Robot,,Jeff Hermann,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,Inside Out 2,,Sudeep Rangaswamy,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,The Wild Robot,,Jacob Hjort Jensen,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,Inside Out 2,,Kelsey Mann,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,Inside Out 2,,Mark Nielsen,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,Moana 2,,Ian Gooding,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,Moana 2,,Gabriela Hernandez,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,Transformers One,,Frazer Churchill,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,Transformers One,,Fiona Chilton,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,Transformers One,,Josh Cooley,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,Transformers One,,Stephen King,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,Ultraman: Rising,,Hayden Jones,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,Ultraman: Rising,,Sean M. Murphy,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,Ultraman: Rising,,Shannon Tindle,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,Ultraman: Rising,,Mathieu Vig,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,Inside Out 2,,Bill Watral,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,Moana 2,,Carlos Cabral,FALSE,
2024,Outstanding Visual Effects in an Animated Feature,Moana 2,,Tucker Gilmore,FALSE,
2022,Outstanding Animated Character in a Photoreal Feature,Avatar: The Way of Water,,Anneka Fris,TRUE,
2022,Outstanding Animated Character in a Photoreal Feature,Avatar: The Way of Water,,Rebecca Louise Leybourne,TRUE,
2022,Outstanding Animated Character in a Photoreal Feature,Avatar: The Way of Water,,Guillaume François,TRUE,
2022,Outstanding Animated Character in a Photoreal Feature,Avatar: The Way of Water,,Jung-Rock Hwang,TRUE,
2022,Outstanding Animated Character in a Photoreal Feature,Beast,,Alvise Avati,FALSE,
2022,Outstanding Animated Character in a Photoreal Feature,Beast,,Bore Şahin,FALSE,
2022,Outstanding Animated Character in a Photoreal Feature,Beast,,Chris McGaw,FALSE,
2022,Outstanding Animated Character in a Photoreal Feature,Beast,,Krzysztof Boyoko,FALSE,
2022,Outstanding Animated Character in a Photoreal Feature,Disney's Pinocchio,,Christophe Paradis,FALSE,
2022,Outstanding Animated Character in a Photoreal Feature,Disney's Pinocchio,,Valentina Rosselli,FALSE,
