Year,Film,Nominee,Source,Category,Won,Concordance
2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Peter Baynham,"The character Borat Sagdiyev, from the television series Da Ali G Show by Sacha Baron Cohen",Adapted Screenplay,FALSE,Screenplay (Adapted)
2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Anthony Hines,"The character Borat Sagdiyev, from the television series Da Ali G Show by Sacha Baron Cohen",Adapted Screenplay,FALSE,Screenplay (Adapted)
2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Todd Phillips,"The character Borat Sagdiyev, from the television series Da Ali G Show by Sacha Baron Cohen",Adapted Screenplay,FALSE,Screenplay (Adapted)
2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Dan Mazer,"The character Borat Sagdiyev, from the television series Da Ali G Show by Sacha Baron Cohen",Adapted Screenplay,FALSE,Screenplay (Adapted)
2006,The Devil Wears Prada,Aline Brosh McKenna,The novel by Lauren Weisberger,Adapted Screenplay,FALSE,Screenplay (Adapted)
2006,Little Children,Todd Field,The novel by Tom Perrotta,Adapted Screenplay,FALSE,Screenplay (Adapted)
2006,Little Children,Tom Perrotta,The novel by Tom Perrotta,Adapted Screenplay,FALSE,Screenplay (Adapted)
2006,Thank You for Smoking,Jason Reitman,The novel by Christopher Buckley,Adapted Screenplay,FALSE,Screenplay (Adapted)
2006,Little Miss Sunshine,Michael Arndt,,Original Screenplay,TRUE,Screenplay (Original)
2006,Babel,Guillermo Arriaga,,Original Screenplay,FALSE,Screenplay (Original)
2006,The Queen,Peter Morgan,,Original Screenplay,FALSE,Screenplay (Original)
2006,Stranger than Fiction,Zach Helm,,Original Screenplay,FALSE,Screenplay (Original)
2006,United 93,Paul Greengrass,,Original Screenplay,FALSE,Screenplay (Original)
2006,Deliver Us from Evil,Amy J. Berg,,Documentary Screenplay,TRUE,
2006,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Mark Monroe,,Documentary Screenplay,FALSE,
2006,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Mark Monroe,,Documentary Screenplay,FALSE,
2006,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,John Dower,,Documentary Screenplay,FALSE,
2006,The Heart of the Game,Ward Serrill,,Documentary Screenplay,FALSE,
2006,Who Killed the Electric Car?,Chris Paine,,Documentary Screenplay,FALSE,
2006,Why We Fight,Eugene Jarecki,,Documentary Screenplay,FALSE,
2005,Brokeback Mountain,Larry McMurtry,The short story by Annie Proulx,Adapted Screenplay,TRUE,Screenplay (Adapted)
2005,Brokeback Mountain,Diana Ossana,The short story by Annie Proulx,Adapted Screenplay,TRUE,Screenplay (Adapted)
2005,Capote,Dan Futterman,The book by Gerald Clarke,Adapted Screenplay,FALSE,Screenplay (Adapted)
2005,The Constant Gardener,Jeffrey Caine,The novel by John le Carré,Adapted Screenplay,FALSE,Screenplay (Adapted)
2005,A History of Violence,Josh Olson,The graphic novel by John Wagner and Vince Locke,Adapted Screenplay,FALSE,Screenplay (Adapted)
2005,Syriana,Stephen Gaghan,The memoir See No Evil by Robert Baer,Adapted Screenplay,FALSE,Screenplay (Adapted)
2005,Crash,Paul Haggis,,Original Screenplay,TRUE,Screenplay (Original)
2005,Crash,Bobby Moresco,,Original Screenplay,TRUE,Screenplay (Original)
2005,The 40-Year-Old Virgin,Judd Apatow,,Original Screenplay,FALSE,Screenplay (Original)
2005,The 40-Year-Old Virgin,Steve Carell,,Original Screenplay,FALSE,Screenplay (Original)
2005,Cinderella Man,Akiva Goldsman,,Original Screenplay,FALSE,Screenplay (Original)
2005,Cinderella Man,Cliff Hollingsworth,,Original Screenplay,FALSE,Screenplay (Original)
2005,"Good Night, and Good Luck.",George Clooney,,Original Screenplay,FALSE,Screenplay (Original)
2005,"Good Night, and Good Luck.",Grant Heslov,,Original Screenplay,FALSE,Screenplay (Original)
2005,The Squid and the Whale,Noah Baumbach,,Original Screenplay,FALSE,Screenplay (Original)
2005,Enron: The Smartest Guys in the Room,Alex Gibney,The book The Smartest Guys in the Room: The Amazing Rise and Scandalous Fall of Enron by Bethany McLean and Peter Elkind,Documentary Screenplay,TRUE,
2005,Cowboy del Amor,Michèle Ohayon,,Documentary Screenplay,FALSE,
2005,March of the Penguins,Luc Jacquet,The story by Luc Jacquet,Documentary Screenplay,FALSE,
2005,March of the Penguins,Michel Fessler (narration written by Jordan Roberts),The story by Luc Jacquet,Documentary Screenplay,FALSE,
2005,Street Fight,Marshall Curry,,Documentary Screenplay,FALSE,
2005,The Fall of Fujimori,Ellen Perry,,Documentary Screenplay,FALSE,
2005,The Fall of Fujimori,Zack Anderson,,Documentary Screenplay,FALSE,
2005,The Fall of Fujimori,Kim Roberts,,Documentary Screenplay,FALSE,
