Year,Category,Concordance,Film,Film_Original,Country,Nominee,Won,Role,Adapted from,Character
2012,Best Production Design,Art Direction,Lincoln,,,Jim Erickson,FALSE,,,
2012,Best Production Design,Art Direction,Skyfall,,,Dennis Gassner,FALSE,,,
2012,Best Production Design,Art Direction,Skyfall,,,Anna Pinnock,FALSE,,,
2012,Best Make-up and Hair,Make-Up & Hairstyling,Les Misérables,,,Lisa Westcott,TRUE,,,
2012,Best Make-up and Hair,Make-Up & Hairstyling,Anna Karenina,,,Ivana Primorac,FALSE,,,
2012,Best Make-up and Hair,Make-Up & Hairstyling,Hitchcock,,,Julie Hewett,FALSE,,,
2012,Best Make-up and Hair,Make-Up & Hairstyling,Hitchcock,,,Martin Samuel,FALSE,,,
2012,Best Make-up and Hair,Make-Up & Hairstyling,Hitchcock,,,Howard Berger,FALSE,,,
2012,Best Make-up and Hair,Make-Up & Hairstyling,The Hobbit: An Unexpected Journey,,,Peter Swords King,FALSE,,,
2012,Best Make-up and Hair,Make-Up & Hairstyling,The Hobbit: An Unexpected Journey,,,Richard Taylor,FALSE,,,
2012,Best Make-up and Hair,Make-Up & Hairstyling,The Hobbit: An Unexpected Journey,,,Rick Findlater,FALSE,,,
2012,Best Make-up and Hair,Make-Up & Hairstyling,Lincoln,,,Lois Burwell,FALSE,,,
2012,Best Make-up and Hair,Make-Up & Hairstyling,Lincoln,,,Kay Georgiou,FALSE,,,
2012,Best Original Music,Original Score,Skyfall,,,Thomas Newman,TRUE,,,
2012,Best Original Music,Original Score,Anna Karerina,,,Dario Marianelli,FALSE,,,
2012,Best Original Music,Original Score,Argo,,,Alexandre Desplat,FALSE,,,
2012,Best Original Music,Original Score,Life of Pi,,,Mychael Danna,FALSE,,,
2012,Best Original Music,Original Score,Lincoln,,,John Williams,FALSE,,,
2012,Best Sound,Sound Mixing,Les Misérables,,,Simon Hayes,TRUE,,,
2012,Best Sound,Sound Mixing,Les Misérables,,,Andy Nelson,TRUE,,,
2012,Best Sound,Sound Mixing,Les Misérables,,,Mark Paterson,TRUE,,,
2012,Best Sound,Sound Mixing,Les Misérables,,,Jonathan Allen,TRUE,,,
2012,Best Sound,Sound Mixing,Les Misérables,,,Lee Walpole,TRUE,,,
2012,Best Sound,Sound Mixing,Les Misérables,,,John Warhurst,TRUE,,,
2012,Best Sound,Sound Mixing,Django Unchained,,,Mark Ulano,FALSE,,,
2012,Best Sound,Sound Mixing,Django Unchained,,,Michael Minkler,FALSE,,,
2012,Best Sound,Sound Mixing,Django Unchained,,,Tony Lamberti,FALSE,,,
2012,Best Sound,Sound Mixing,Django Unchained,,,Wylie Stateman,FALSE,,,
2012,Best Sound,Sound Mixing,The Hobbit: An Unexpected Journey,,,Tony Johnson,FALSE,,,
2012,Best Sound,Sound Mixing,The Hobbit: An Unexpected Journey,,,Christopher Boyes,FALSE,,,
2012,Best Sound,Sound Mixing,The Hobbit: An Unexpected Journey,,,Michael Hedges,FALSE,,,
2012,Best Sound,Sound Mixing,The Hobbit: An Unexpected Journey,,,Michael Semanick,FALSE,,,
2012,Best Sound,Sound Mixing,The Hobbit: An Unexpected Journey,,,Brent Burge,FALSE,,,
2012,Best Sound,Sound Mixing,The Hobbit: An Unexpected Journey,,,Chris Ward,FALSE,,,
2012,Best Sound,Sound Mixing,Life of Pi,,,Drew Kunin,FALSE,,,
2012,Best Sound,Sound Mixing,Life of Pi,,,Eugene Gearty,FALSE,,,
2012,Best Sound,Sound Mixing,Life of Pi,,,Philip Stockton,FALSE,,,
2012,Best Sound,Sound Mixing,Life of Pi,,,Ron Bartlett,FALSE,,,
2012,Best Sound,Sound Mixing,Life of Pi,,,Doug Hemphill,FALSE,,,
2012,Best Sound,Sound Mixing,Skyfall,,,Stuart Wilson,FALSE,,,
2012,Best Sound,Sound Mixing,Skyfall,,,Scott Millan,FALSE,,,
2012,Best Sound,Sound Mixing,Skyfall,,,Greg P. Russell,FALSE,,,
2012,Best Sound,Sound Mixing,Skyfall,,,Per Hallberg,FALSE,,,
2012,Best Sound,Sound Mixing,Skyfall,,,Karen Baker Landers,FALSE,,,
2012,Best Special Visual Effects,Effects,Life of Pi,,,Bill Westenhofer,TRUE,,,
2012,Best Special Visual Effects,Effects,Life of Pi,,,Guillaume Rocheron,TRUE,,,
2012,Best Special Visual Effects,Effects,Life of Pi,,,Erik-Jan de Boer,TRUE,,,
2012,Best Special Visual Effects,Effects,The Avengers,,,Janek Sirrs,FALSE,,,
2012,Best Special Visual Effects,Effects,The Avengers,,,Jeff White,FALSE,,,
2012,Best Special Visual Effects,Effects,The Avengers,,,Guy Williams,FALSE,,,
2012,Best Special Visual Effects,Effects,The Avengers,,,Dan Sudick,FALSE,,,
2012,Best Special Visual Effects,Effects,The Dark Knight Rises,,,Paul Franklin,FALSE,,,
2012,Best Special Visual Effects,Effects,The Dark Knight Rises,,,Chris Corbould,FALSE,,,
2012,Best Special Visual Effects,Effects,The Dark Knight Rises,,,Peter Bebb,FALSE,,,
2012,Best Special Visual Effects,Effects,The Dark Knight Rises,,,Andrew Lockley,FALSE,,,
2012,Best Special Visual Effects,Effects,The Hobbit: An Unexpected Journey,,,Joe Letteri,FALSE,,,
2012,Best Special Visual Effects,Effects,The Hobbit: An Unexpected Journey,,,Eric Saindon,FALSE,,,
2012,Best Special Visual Effects,Effects,The Hobbit: An Unexpected Journey,,,David Clayton,FALSE,,,
2012,Best Special Visual Effects,Effects,The Hobbit: An Unexpected Journey,,,R. Christopher White,FALSE,,,
2012,Best Special Visual Effects,Effects,Prometheus,,,Richard Stammers,FALSE,,,
2012,Best Special Visual Effects,Effects,Prometheus,,,Charley Henley,FALSE,,,
2012,Best Special Visual Effects,Effects,Prometheus,,,Trevor Wood,FALSE,,,
2012,Best Special Visual Effects,Effects,Prometheus,,,Paul Butterworth,FALSE,,,
2012,Rising Star Award,,,,,Juno Temple,TRUE,,,
