Year,Category,Film,Nominee,Song_Title,Won,Concordance
2023,Best Song for a Drama / Documentary,Carmen,Taura Stinson,Slip Away,FALSE,Original Song
2023,Best Song for a Drama / Documentary,Jacob the Baker,Sharon Farber,Better Times,FALSE,Original Song
2023,Best Song for a Drama / Documentary,Jacob the Baker,Noah Benshea,Better Times,FALSE,Original Song
2023,Best Song for a Drama / Documentary,Rustin,Lenny Kravtiz,Road to Freedom,FALSE,Original Song
2023,Best Song for a Drama / Documentary,The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,Can't Catch Me Now,TRUE,Original Song
2022,Best Studio Film Score,Nope,Michael Abels,,TRUE,Original Score
2022,Best Studio Film Score,Guillermo del Toro's 'Pinocchio',Alexandre Desplat,,FALSE,Original Score
2022,Best Studio Film Score,The Banshees of Inisherin,Carter Burwell,,FALSE,Original Score
2022,Best Studio Film Score,The Batman,Michael Giacchino,,FALSE,Original Score
2022,Best Studio Film Score,Don't Worry Darling,John Powell,,FALSE,Original Score
2022,Best Independent Film Score,Everything Everywhere All at Once,Ryan Lott,,TRUE,Original Score
2022,Best Independent Film Score,Weird: The Al Yankovic Story,Leo Birenberg,,FALSE,Original Score
2022,Best Independent Film Score,Weird: The Al Yankovic Story,Zach Robinson,,FALSE,Original Score
2022,Best Independent Film Score,Brainwashed: Sex-Camera-Power,Sharon Faber,,FALSE,Original Score
2022,Best Independent Film Score,The Whale,Rob Simonsen,,FALSE,Original Score
2022,Best Independent Film Score,The Reef: Stalked,Mark Smythe,,FALSE,Original Score
2022,Best Song for a Musical / Comedy,Guillermo del Toro's 'Pinocchio',Alexandre Desplat,"Ciao, Papa",TRUE,Original Song
2022,Best Song for a Musical / Comedy,Guillermo del Toro's 'Pinocchio',Roeban Katz,"Ciao, Papa",TRUE,Original Song
2022,Best Song for a Musical / Comedy,Guillermo del Toro's 'Pinocchio',Guillermo del Toro,"Ciao, Papa",TRUE,Original Song
2022,Best Song for a Musical / Comedy,Spirited,Khiyon Hursey,Good Afternoon,FALSE,Original Song
2022,Best Song for a Musical / Comedy,Spirited,Sukari Jones,Good Afternoon,FALSE,Original Song
2022,Best Song for a Musical / Comedy,Spirited,Benj Pasek,Good Afternoon,FALSE,Original Song
2022,Best Song for a Musical / Comedy,Spirited,Justin Paul,Good Afternoon,FALSE,Original Song
2022,Best Song for a Musical / Comedy,Spirited,Mark Sonnenblick,Good Afternoon,FALSE,Original Song
2022,Best Song for a Musical / Comedy,Central Park,Danny Elfman,Light the Match,FALSE,Original Song
2022,Best Song for a Musical / Comedy,Bros,Billy Eichner,Love Is Not Love,FALSE,Original Song
2022,Best Song for a Musical / Comedy,Bros,Marc Shaiman,Love Is Not Love,FALSE,Original Song
2022,Best Song for a Musical / Comedy,Weird: The Al Yankovic Story,Weird Al Yankovic,Now You Know,FALSE,Original Song
2022,Best Song for a Drama / Documentary,Tell It Like a Woman,Dianne Warren,Applause,TRUE,Original Song
2022,Best Song for a Drama / Documentary,Where the Crawdads Sing,Taylor Swift,Carolina,FALSE,Original Song
