Year,Category,Nominee,Film,Concordance,Won
2015,First-Time Feature Film,Marielle Heller,The Diary of a Teenage Girl,Directing,FALSE
2015,First-Time Feature Film,László Nemes,Son of Saul,Directing,FALSE
2015,Feature Film,Alejandro González Iñárritu,The Revenant,Directing,TRUE
2015,Feature Film,Tom McCarthy,Spotlight,Directing,FALSE
2015,Feature Film,Adam McKay,The Big Short,Directing,FALSE
2015,Feature Film,George Miller,Mad Max: Fury Road,Directing,FALSE
2015,Feature Film,Ridley Scott,The Martian,Directing,FALSE
2015,Documentaries,Matthew Heineman,Cartel Land,Directing,TRUE
2015,Documentaries,Jimmy Chin,Meru,Directing,FALSE
2015,Documentaries,Elizabeth Chai Vasarhelyi,Meru,Directing,FALSE
2015,Documentaries,Liz Garbus,"What Happened, Miss Simone?",Directing,FALSE
2015,Documentaries,Alex Gibney,Going Clear: Scientology and the Prison of Belief,Directing,FALSE
2015,Documentaries,Asif Kapadia,Amy,Directing,FALSE
2014,First-Time Feature Film,,,Directing,TRUE
2014,First-Time Feature Film,,,Directing,FALSE
2014,First-Time Feature Film,,,Directing,FALSE
2014,First-Time Feature Film,,,Directing,FALSE
2014,First-Time Feature Film,,,Directing,FALSE
2014,Feature Film,Alejandro González Iñárritu,Birdman or (The Unexpected Virtue of Ignorance),Directing,TRUE
2014,Feature Film,Wes Anderson,The Grand Budapest Hotel,Directing,FALSE
2014,Feature Film,Clint Eastwood,American Sniper,Directing,FALSE
2014,Feature Film,Richard Linklater,Boyhood,Directing,FALSE
2014,Feature Film,Morten Tyldum,The Imitation Game,Directing,FALSE
2014,Documentaries,Laura Poitras,Citizenfour,Directing,TRUE
2014,Documentaries,Dan Krauss,The Kill Team,Directing,FALSE
2014,Documentaries,John Maloof,Finding Vivian Maier,Directing,FALSE
2014,Documentaries,Charlie Siskel,Finding Vivian Maier,Directing,FALSE
2014,Documentaries,Jesse Moss,The Overnighters,Directing,FALSE
2014,Documentaries,Orlando von Einsiedel,Virunga,Directing,FALSE
2013,First-Time Feature Film,,,Directing,TRUE
2013,First-Time Feature Film,,,Directing,FALSE
2013,First-Time Feature Film,,,Directing,FALSE
2013,First-Time Feature Film,,,Directing,FALSE
2013,First-Time Feature Film,,,Directing,FALSE
2013,Feature Film,Alfonso Cuarón,Gravity,Directing,TRUE
2013,Feature Film,Paul Greengrass,Captain Phillips,Directing,FALSE
2013,Feature Film,Steve McQueen,12 Years a Slave,Directing,FALSE
2013,Feature Film,David O. Russell,American Hustle,Directing,FALSE
2013,Feature Film,Martin Scorsese,The Wolf of Wall Street,Directing,FALSE
